"","Year","Council","ClaimantsAsPropOf16_65Pop","ClaimantCountAged16_24AtMarch","Population16_24","Proportion16_24AreClaimants"
"260","2017/18","Argyll and Bute",1.8,190,8581,2.2
"261","2017/18","Clackmannanshire",4.1,310,5317,5.8
"262","2017/18","Dumfries and Galloway",1.9,360,13691,2.6
"263","2017/18","Dundee City",3.7,830,20928,4
"264","2017/18","East Ayrshire",4,620,12321,5
"265","2017/18","East Dunbartonshire",1.8,220,10825,2
"266","2017/18","East Lothian",2.9,335,10429,3.2
"267","2017/18","East Renfrewshire",1.2,160,9862,1.6
"268","2017/18","City of Edinburgh",1.4,820,65500,1.3
"269","2017/18","Na h-Eileanan Siar",1.9,40,2207,1.8
"270","2017/18","Falkirk",2.6,615,16089,3.8
"271","2017/18","Fife",3.1,1605,41276,3.9
"272","2017/18","Glasgow City",3.2,2585,81075,3.2
"273","2017/18","Highland",2.6,675,21852,3.1
"274","2017/18","Inverclyde",5.2,485,8082,6
"275","2017/18","Midlothian",2.7,310,8844,3.5
"276","2017/18","Moray",2.1,330,9631,3.4
"277","2017/18","North Ayrshire",4.5,780,14212,5.5
"278","2017/18","North Lanarkshire",2.8,1405,36710,3.8
"279","2017/18","Orkney Islands",0.9,25,1961,1.3
"280","2017/18","Perth and Kinross",1.3,280,14671,1.9
"281","2017/18","Renfrewshire",2.9,575,18522,3.1
"282","2017/18","Scottish Borders",1.7,280,10363,2.7
"283","2017/18","Shetland Islands",0.9,25,2239,1.1
"284","2017/18","South Ayrshire",2.5,365,10735,3.4
"285","2017/18","South Lanarkshire",2.8,1115,32033,3.5
"286","2017/18","Stirling",2.3,315,12941,2.4
"287","2017/18","West Dunbartonshire",3.9,425,9254,4.6
"288","2017/18","West Lothian",1.9,550,18786,2.9
"289","2018/19","Aberdeen City",2.1,570,27357,2.1
"290","2018/19","Aberdeenshire",1.6,600,23560,2.5
"291","2018/19","Angus",3.2,545,10980,5
"292","2018/19","Argyll and Bute",2.7,235,8376,2.8
"293","2018/19","Clackmannanshire",4.3,345,5189,6.6
"294","2018/19","Dumfries and Galloway",3,540,13344,4
"295","2018/19","Dundee City",4.7,970,20635,4.7
"296","2018/19","East Ayrshire",5,780,12058,6.5
"297","2018/19","East Dunbartonshire",1.9,235,10580,2.2
"298","2018/19","East Lothian",2.9,340,10092,3.4
"299","2018/19","East Renfrewshire",1.5,180,9708,1.9
"300","2018/19","City of Edinburgh",1.5,840,65075,1.3
"301","2018/19","Na h-Eileanan Siar",2.3,70,2157,3.2
"302","2018/19","Falkirk",3.4,720,15703,4.6
"303","2018/19","Fife",3.9,1925,40441,4.8
"304","2018/19","Glasgow City",3.6,2645,79655,3.3
"305","2018/19","Highland",2.7,695,21693,3.2
"306","2018/19","Inverclyde",5.1,505,7780,6.5
"307","2018/19","Midlothian",2.6,305,8732,3.5
"308","2018/19","Moray",2.6,365,9385,3.9
"309","2018/19","North Ayrshire",5.7,920,13876,6.6
"310","2018/19","North Lanarkshire",3.9,1700,36214,4.7
"311","2018/19","Orkney Islands",1.4,55,1897,2.9
"312","2018/19","Perth and Kinross",1.9,380,14135,2.7
"313","2018/19","Renfrewshire",3.2,630,18216,3.5
"314","2018/19","Scottish Borders",2.6,375,10238,3.7
